Model,mean,std
MalConv,0.0239,0.0130
AvastStyleConv,0.0209,0.0056
BBDnn,0.0181,0.0069
NGramConv,0.0844,0.0423
EmberGBDT,0.1407,0.1545
ResNet18,0.0487,0.0437
MalConvRsDel,1.6538,2.0565
AvastStyleConvRsDel,1.9078,2.3309
BBDnnRsDel,2.9419,2.9766
NGramConvRsDel,1.9397,2.3739
MalConvRS,2.9119,1.9744
AvastStyleConvRS,3.1164,1.8554
BBDnnRS,3.8378,1.8021
NGramConvRS,4.9642,2.8424
MalConvFDRS,0.0136,0.0080
AvastStyleConvFDRS,0.0094,0.0031
BBDnnFDRS,0.0137,0.0043
NGramConvFDRS,0.0414,0.0212
MalConvKDRS,0.0115,0.0063
AvastStyleConvKDRS,0.0078,0.0027
BBDnnKDRS,0.0091,0.0047
NGramConvKDRS,0.0428,0.0221
MalConvRDRS,0.1742,0.0830
AvastStyleConvRDRS,0.2012,0.0722
NGramConvRDRS,0.4326,0.2035
BBDnnRDRS,0.2245,0.0344
MalConvSDRS,0.1755,0.0859
AvastStyleConvSDRS,0.1923,0.0692
BBDnnSDRS,0.2300,0.0379
NGramConvSDRS,0.4093,0.1916
 